Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
Henderson County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Henderson, Kentucky,19008,https://www.ewg.org/tapwater/system.php?pws=KY0510189,3,9 ,Chlorate;Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Chromium (total);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
Henderson Municipal Water & Sewer,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Henderson, Kentucky,31705,https://www.ewg.org/tapwater/system.php?pws=KY0510188,5,16 ,Chlorite;Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Atrazine;Barium;Chlorate;Di(2-ethylhexyl) phthalate;Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Henry County Water District #2,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Henry County, Kentucky,17716,https://www.ewg.org/tapwater/system.php?pws=KY0520192,2,10 ,Nitrate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Barium;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium,2012-2017,Groundwater
Hopkinsville Water Environmental Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hopkinsville, Kentucky,37033,https://www.ewg.org/tapwater/system.php?pws=KY0240201,4,15 ,Arsenic;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Aluminum;Atrazine;Barium;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Molybdenum;Selenium;Strontium;Vanadium,2012-2017,Surface water
Jackson County Water Association,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Jackson County, Kentucky,13629,https://www.ewg.org/tapwater/system.php?pws=KY0550209,3,13 ,Arsenic;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Thallium,2012-2017,Surface water
Kentucky-American Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Lexington, Kentucky,356400,https://www.ewg.org/tapwater/system.php?pws=KY0340250,4,12 ,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);2%2C4-D;Aluminum;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Larue County Water District #1,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Larue County, Kentucky,10166,https://www.ewg.org/tapwater/system.php?pws=KY0620237,2,2 ,Haloacetic acids (HAA5);Total trihalomethanes (TTHMs),2012-2017,Purchased surface water
Laurel County Water District #2,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Laurel County, Kentucky,17520,https://www.ewg.org/tapwater/system.php?pws=KY0630238,2,11 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Thallium,2012-2017,Surface water
Lawrenceburg Water & Sewer Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Lawrenceburg, Kentucky,19305,https://www.ewg.org/tapwater/system.php?pws=KY0030239,3,14 ,Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Beryllium;Chlorate;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
London Utility Commission,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,London, Kentucky,10604,https://www.ewg.org/tapwater/system.php?pws=KY0630255,2,12 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chlorate;Chromium (hexavalent);Chromium (total);Cyanide;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium,2012-2017,Surface water
Louisville Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Louisville, Kentucky,764769,https://www.ewg.org/tapwater/system.php?pws=KY0560258,6,16 ,Chlorite;Chromium (hexavalent);Nitrate;Perfluorooctanoic acid (PFOA);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Chlorate;Ethinyl estradiol;Fluoride;Haloacetic acids (HAA5);Molybdenum;Silver;Strontium;Vanadium,2012-2017,Surface water
Madison County Utilities District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Madison County, Kentucky,25120,https://www.ewg.org/tapwater/system.php?pws=KY0760224,3,13 ,Arsenic*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Aluminum*;Barium*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5);Manganese*;Nitrate*;Strontium;Vanadium,2012-2017,Purchased surface water
Madisonville Light & Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Madisonville, Kentucky,28102,https://www.ewg.org/tapwater/system.php?pws=KY0540936,5,14 ,Arsenic;Chlorate;Chlorite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Strontium;Vanadium,2012-2017,Surface water
Magoffin County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Magoffin County, Kentucky,10294,https://www.ewg.org/tapwater/system.php?pws=KY0770525,2,5 ,Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Aluminum*;Fluoride*;Haloacetic acids (HAA5),2012-2017,Purchased surface water
Manchester Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Manchester, Kentucky,11349,https://www.ewg.org/tapwater/system.php?pws=KY0260737,2,11 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Thallium,2012-2017,Surface water
Marion County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Marion County, Kentucky,16311,https://www.ewg.org/tapwater/system.php?pws=KY0780268,2,8 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);Chlorate;Cobalt;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
Martin County Water District #1,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Martin County, Kentucky,10843,https://www.ewg.org/tapwater/system.php?pws=KY0800273,2,15 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Selenium;Strontium;Thallium;Vanadium,2012-2017,Surface water
Mayfield Electric & Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mayfield, Kentucky,10024,https://www.ewg.org/tapwater/system.php?pws=KY0420274,5,13 ,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Barium;Chlorate;Fluoride;Haloacetic acids (HAA5);Manganese;Strontium,2012-2017,Groundwater
Maysville Utility Commission,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Maysville, Kentucky,13600,https://www.ewg.org/tapwater/system.php?pws=KY0810275,4,13 ,Arsenic;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Chlorate;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Vanadium,2012-2017,Surface water
McCreary County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mccreary County, Kentucky,17532,https://www.ewg.org/tapwater/system.php?pws=KY0740276,3,12 ,Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Beryllium;Chlorate;Cyanide;Fluoride;Haloacetic acids (HAA5);Nitrate;Selenium;Strontium,2012-2017,Surface water
Meade County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Meade County, Kentucky,14378,https://www.ewg.org/tapwater/system.php?pws=KY0820369,2,8 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Chlorate;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Purchased surface water
Monticello Water & Sewer Commission,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Monticello, Kentucky,24057,https://www.ewg.org/tapwater/system.php?pws=KY1160291,3,15 ,Arsenic;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Chromium (total);Cyanide;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Vanadium,2012-2017,Surface water
Mountain Water District #1 Marrow Bone,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in serious violation federal health-based drinking water standards.,Pike County, Kentucky,48286,https://www.ewg.org/tapwater/system.php?pws=KY0980575,1,13 ,Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Nitrate;Selenium;Strontium;Thallium;Vanadium,2012-2017,Surface water
Mt Sterling Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mt Sterling, Kentucky,16391,https://www.ewg.org/tapwater/system.php?pws=KY0870298,4,13 ,Arsenic;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Mt Washington Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mt Washington, Kentucky,23760,https://www.ewg.org/tapwater/system.php?pws=KY0150300,6,16 ,Chlorite*;Chromium (hexavalent);Nitrate*;Perfluorooctanoic acid (PFOA)*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum*;Chlorate;Ethinyl estradiol*;Fluoride*;Haloacetic acids (HAA5);Molybdenum;Silver*;Strontium;Vanadium,2012-2017,Purchased surface water
Muhlenberg County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Muhlenberg County, Kentucky,16845,https://www.ewg.org/tapwater/system.php?pws=KY0890302,2,7 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);Chlorate;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
Murray Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Murray, Kentucky,25544,https://www.ewg.org/tapwater/system.php?pws=KY0180306,2,6 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Beryllium;Fluoride;Strontium,2012-2017,Groundwater
Nicholasville Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Nicholasville, Kentucky,34253,https://www.ewg.org/tapwater/system.php?pws=KY0570315,2,13 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Beryllium;Chlorate;Chromium (hexavalent);Cyanide;Fluoride;Haloacetic acids (HAA5);Nitrate;Strontium;Vanadium,2012-2017,Surface water
North Marshall Water District #1,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Marshall County, Kentucky,16276,https://www.ewg.org/tapwater/system.php?pws=KY0790319,4,12 ,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Beryllium;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Groundwater
North Mercer Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mercer County, Kentucky,12884,https://www.ewg.org/tapwater/system.php?pws=KY0840321,2,8 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);Chlorate;Chromium (total);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
North Nelson Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Nelson County, Kentucky,13365,https://www.ewg.org/tapwater/system.php?pws=KY0900323,2,8 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Chlorate;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
North Shelby Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Shelby County, Kentucky,14660,https://www.ewg.org/tapwater/system.php?pws=KY1060324,2,9 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Bromochloromethane;Chlorate;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
Northern Kentucky Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Kenton County, Kentucky,199460,https://www.ewg.org/tapwater/system.php?pws=KY0590220,3,15 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Barium;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Mercury (inorganic);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Ohio County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Ohio County, Kentucky,17802,https://www.ewg.org/tapwater/system.php?pws=KY0920332,3,11 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Atrazine;Barium;Chlorate;Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Oldham County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Oldham County, Kentucky,22819,https://www.ewg.org/tapwater/system.php?pws=KY0930333,3,12 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Chlorate;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Vanadium,2012-2017,Groundwater
Owensboro Municipal Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Owensboro, Kentucky,67691,https://www.ewg.org/tapwater/system.php?pws=KY0300336,3,11 ,Arsenic;Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Chlorate;Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Groundwater
Paducah Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Paducah, Kentucky,64013,https://www.ewg.org/tapwater/system.php?pws=KY0730533,5,18 ,Arsenic;Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Aluminum;Atrazine;Barium;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monochlorobenzene (chlorobenzene);Strontium;Vanadium,2012-2017,Surface water
Paintsville Municipal Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Paintsville, Kentucky,24354,https://www.ewg.org/tapwater/system.php?pws=KY0580340,2,11 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium,2012-2017,Surface water
Paris Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Paris, Kentucky,14479,https://www.ewg.org/tapwater/system.php?pws=KY0090343,3,15 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Aluminum;Barium;Beryllium;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monochlorobenzene (chlorobenzene);Selenium;Strontium;Vanadium;Xylenes (total),2012-2017,Surface water
Pikeville Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pikeville, Kentucky,12700,https://www.ewg.org/tapwater/system.php?pws=KY0980350,4,12 ,Arsenic;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Selenium;Strontium,2012-2017,Surface water
Pineville Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pineville, Kentucky,16573,https://www.ewg.org/tapwater/system.php?pws=KY0070353,2,10 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Nitrate;Strontium;Thallium,2012-2017,Surface water
Prestonsburg City Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Prestonsburg, Kentucky,20368,https://www.ewg.org/tapwater/system.php?pws=KY0360358,4,15 ,Chlorate;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Selenium;Strontium;Uranium;Vanadium,2012-2017,Surface water
