Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
Northampton Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Northampton, Massachusetts,28720,https://www.ewg.org/tapwater/system.php?pws=MA1214000,8,16 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chlorodifluoromethane;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium;Vanadium
Northborough Water Department (mwra),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Northborough, Massachusetts,10682,https://www.ewg.org/tapwater/system.php?pws=MA2215000,5,12 ,2012-2017,Purchased surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs),Chromium (total);Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium;Trichloroacetic acid
Norton Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Norton, Massachusetts,19031,https://www.ewg.org/tapwater/system.php?pws=MA4218000,9,21 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Manganese;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Aluminum;Bromoform;Chlorate;Cobalt;Dibromoacetic acid;Haloacetic acids (HAA5);Monochloroacetic acid;Perchlorate;Radium%2C combined (-226 & -228);Strontium;Vanadium
Norwell Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Norwell, Massachusetts,11277,https://www.ewg.org/tapwater/system.php?pws=MA4219000,9,21 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Aluminum;Bromoform;Chlorate;Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Strontium;Vanadium
Norwood Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Norwood, Massachusetts,29432,https://www.ewg.org/tapwater/system.php?pws=MA4220000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (total);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Oak Bluffs Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Oak Bluffs, Massachusetts,22452,https://www.ewg.org/tapwater/system.php?pws=MA4221000,8,21 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs),1%2C4-Dioxane;Aluminum;Barium;Bromoform;Chlorate;Chlorodifluoromethane;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Strontium;Vanadium
Orleans Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Orleans, Massachusetts,17670,https://www.ewg.org/tapwater/system.php?pws=MA4224000,7,25 ,2012-2017,Groundwater,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Barium;Bromochloromethane;Chlorate;Chloromethane;Chromium (total);Dibromoacetic acid;Dichloroacetic acid;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;MTBE;Nitrate;Nitrite;Strontium;Trichloroacetic acid;Vanadium
Peabody Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Peabody, Massachusetts,51836,https://www.ewg.org/tapwater/system.php?pws=MA3229000,10,26 ,2012-2017,Surface water,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Bromoform;Chlorate;Cyanide (free);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrite;Selenium;Strontium;Vanadium
Pembroke Water Division Dpw,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pembroke, Massachusetts,19352,https://www.ewg.org/tapwater/system.php?pws=MA4231000,6,16 ,2012-2017,Purchased surface water,Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Aluminum;Bromoform;Chlorate;Chloroform;Fluoride;Manganese;Perchlorate;Strontium;Vanadium
Pittsfield DPU Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pittsfield, Massachusetts,44737,https://www.ewg.org/tapwater/system.php?pws=MA1236000,6,16 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Chromium (hexavalent);Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Strontium;Vanadium
Plymouth Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Plymouth, Massachusetts,40362,https://www.ewg.org/tapwater/system.php?pws=MA4239000,9,19 ,2012-2017,Groundwater,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs),Chlorate;Chromium (total);Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;MTBE;Perchlorate;Strontium;Vanadium
Provincetown Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Provincetown, Massachusetts,22250,https://www.ewg.org/tapwater/system.php?pws=MA4242000,9,18 ,2012-2017,Groundwater,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs),Chlorate;Dibromoacetic acid;Dichloroacetic acid;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Strontium
Quincy Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Quincy, Massachusetts,93681,https://www.ewg.org/tapwater/system.php?pws=MA3243000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (total);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Randolph Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Randolph, Massachusetts,33375,https://www.ewg.org/tapwater/system.php?pws=MA4244000,9,18 ,2012-2017,Purchased surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Trichloroacetic acid,Dibromoacetic acid;Haloacetic acids (HAA5);Manganese*;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Strontium;Vanadium
Reading Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Reading, Massachusetts,26230,https://www.ewg.org/tapwater/system.php?pws=MA3246000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Revere Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Revere, Massachusetts,51755,https://www.ewg.org/tapwater/system.php?pws=MA3248000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Salem Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Salem, Massachusetts,42869,https://www.ewg.org/tapwater/system.php?pws=MA3258000,7,15 ,2012-2017,Purchased surface water,Arsenic*;Bromodichloromethane*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Chlorate;Dibromomethane*;Fluoride*;Haloacetic acids (HAA5)*;Nitrate*;Strontium;Vanadium
Salisbury Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Salisbury, Massachusetts,20000,https://www.ewg.org/tapwater/system.php?pws=MA3259000,9,22 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Aluminum;Barium;Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;Perchlorate;Strontium;Uranium;Vanadium
Sandwich Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Sandwich, Massachusetts,23000,https://www.ewg.org/tapwater/system.php?pws=MA4261000,6,14 ,2012-2017,Groundwater,Chloroform;Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs),Barium;Chlorate;Chromium (total);Haloacetic acids (HAA5);Manganese;Strontium;Vanadium
Saugus Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Saugus, Massachusetts,25500,https://www.ewg.org/tapwater/system.php?pws=MA3262000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Scituate Water Division,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Scituate, Massachusetts,19018,https://www.ewg.org/tapwater/system.php?pws=MA4264000,12,27 ,2012-2017,Surface water,Bromodichloromethane;Bromoform;Chlorite;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Chlorate;Chlorodifluoromethane;Chromium (total);Cobalt;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Strontium;Vanadium
Seekonk Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Seekonk, Massachusetts,14371,https://www.ewg.org/tapwater/system.php?pws=MA4265000,10,19 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromoform;Chlorate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Perchlorate;Strontium
Sharon Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Sharon, Massachusetts,17544,https://www.ewg.org/tapwater/system.php?pws=MA4266000,8,18 ,2012-2017,Groundwater,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chlorate;Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Perchlorate;Strontium;Trichloroacetic acid;Vanadium
Shrewsbury Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Shrewsbury, Massachusetts,35608,https://www.ewg.org/tapwater/system.php?pws=MA2271000,8,20 ,2012-2017,Groundwater,Chromium (hexavalent);Dibromochloromethane;Manganese;Nitrate;Radium%2C combined (-226 & -228);Radon;Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs),Bromoform;Chloroform;Chromium (total);Dibromoacetic acid;Dibromomethane;Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrite;Perchlorate;Strontium
Somerset Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Somerset, Massachusetts,17237,https://www.ewg.org/tapwater/system.php?pws=MA4273000,7,18 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chromium (hexavalent);Chromium (total);Cobalt;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Radium%2C combined (-226 & -228);Strontium;Vanadium
Somerville Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Somerville, Massachusetts,75754,https://www.ewg.org/tapwater/system.php?pws=MA3274000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
South Hadley FD #1 (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,South Hadley, Massachusetts,14000,https://www.ewg.org/tapwater/system.php?pws=MA1275000,8,20 ,2012-2017,Purchased surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium*;Bromide*;Bromomethane;Chlorate;Chromium (total);Fluoride*;Haloacetic acids (HAA5);Manganese*;Monochloroacetic acid*;Nitrate*;Strontium
Southbridge Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Southbridge, Massachusetts,15453,https://www.ewg.org/tapwater/system.php?pws=MA2278000,7,20 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloromethane;Chlorate;Dibromochloromethane;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrite;Perchlorate;Strontium;Vanadium
Springfield Water and Sewer Commission,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Springfield, Massachusetts,236763,https://www.ewg.org/tapwater/system.php?pws=MA1281000,6,15 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Chromium (hexavalent);Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Nitrate;Strontium;Vanadium
Stoneham Water Department (MWRA Supply),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Stoneham, Massachusetts,21437,https://www.ewg.org/tapwater/system.php?pws=MA3284000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Stoughton Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Stoughton, Massachusetts,24970,https://www.ewg.org/tapwater/system.php?pws=MA4285000,8,18 ,2012-2017,Purchased surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromoform;Chlorate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Perchlorate;Strontium;Vanadium
Sudbury Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Sudbury, Massachusetts,18410,https://www.ewg.org/tapwater/system.php?pws=MA3288000,9,25 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Bromoform;Chlorate;Chloromethane;Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Strontium;Trichloroethylene;Vanadium
Swampscott Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Swampscott, Massachusetts,13787,https://www.ewg.org/tapwater/system.php?pws=MA3291000,6,18 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Swansea Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Swansea, Massachusetts,17358,https://www.ewg.org/tapwater/system.php?pws=MA4292000,10,23 ,2012-2017,Surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chromium (total);Cobalt;Dibromoacetic acid;Dibromomethane;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Strontium
Taunton Water Division,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Taunton, Massachusetts,58327,https://www.ewg.org/tapwater/system.php?pws=MA4293000,8,16 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Perchlorate;Strontium
